Country,iso_alpha,Fully Vaccinated Percentage,Vaccinated Percentage,“Doses per 100”,Total Dose
U.A.E.,ARE,0.0,0.0,140.0,13684429
Israel,ISR,57.0,60.0,117.0,10618819
Malta,MLT,50.0,67.0,115.0,576256
Bahrain,BHR,52.0,62.0,114.0,1876554
Aruba,ABW,51.0,61.0,112.0,119395
Mongolia,MNG,51.0,59.0,109.0,3528572
Chile,CHL,47.0,61.0,107.0,20223473
U.K.,GBR,44.0,61.0,105.0,70253625
Curaçao,CUW,47.0,55.0,102.0,160585
Qatar,QAT,42.0,56.0,98.0,2768028
Hungary,HUN,42.0,54.0,96.0,9424351
Uruguay,URY,33.0,60.0,93.0,3224002
United States,USA,43.0,52.0,92.0,306509795
Maldives,MDV,33.0,59.0,92.0,489415
Iceland,ISL,36.0,59.0,88.0,317082
Singapore,SGP,33.0,44.0,77.0,4392067
Canada,CDN,11.0,64.0,75.0,28240474
Belgium,BEL,25.0,47.0,71.0,8175324
Germany,DEU,25.0,48.0,71.0,59038531
Serbia,SRB,32.0,38.0,70.0,4882120
Denmark,DNK,25.0,45.0,70.0,4066856
Lithuania,LTU,28.0,42.0,69.0,1933826
Spain,ESP,26.0,45.0,69.0,32282553
Italy,ITA,23.0,47.0,69.0,41310662
Luxembourg,LUX,26.0,42.0,68.0,423029
Austria,AUT,23.0,46.0,68.0,6043642
Switzerland,CHE,26.0,42.0,67.0,5785134
Netherlands,NLD,23.0,45.0,66.0,11395454
Portugal,PRT,23.0,43.0,65.0,6713043
France,FRA,21.0,45.0,64.0,43204513
Bhutan,BTN,0.0,63.0,63.0,482716
Poland,POL,24.0,40.0,62.0,23628450
Greece,GRC,25.0,39.0,62.0,6665626
Slovenia,SVN,26.0,36.0,62.0,1294610
Finland,FIN,12.0,50.0,62.0,3421475
Mainland China,CHN,0.0,0.0,62.0,863513000
Norway,NOR,25.0,36.0,61.0,3254587
Estonia,EST,22.0,39.0,61.0,806585
Czech Republic,CZE,19.0,42.0,60.0,6436606
Sweden,SWE,20.0,40.0,60.0,6151465
Cyprus,CYP,22.0,35.0,57.0,681219
Dominican Rep.,DOM,17.0,39.0,56.0,6050983
Slovakia,SVK,20.0,34.0,54.0,2934355
Barbados,BRB,22.0,30.0,51.0,147036
Croatia,HRV,16.0,34.0,50.0,2042889
Latvia,LVA,21.0,29.0,49.0,935992
Ireland,IRL,0.0,36.0,48.0,2387348
Saudi Arabia,SAU,0.0,0.0,46.0,15605844
Morocco,MAR,19.0,26.0,45.0,16409704
Romania,ROU,21.0,23.0,44.0,8425239
Kuwait,KWT,0.0,0.0,43.0,1820000
Montenegro,MNE,19.0,23.0,42.0,259428
French Polynesia,PYF,19.0,23.0,41.0,115739
Turkey,TUR,16.0,23.0,39.0,32952991
Hong Kong,HKG,16.0,22.0,38.0,2837427
Costa Rica,CRI,14.0,24.0,38.0,1906177
Guyana,GUY,10.0,27.0,38.0,294053
Macau,MAC,12.0,26.0,38.0,237236
Brazil,BRA,11.0,25.0,36.0,76758587
Mauritius,MUS,16.0,20.0,36.0,455242
